date,Open,High,Low,Close,Volume,Ticker
2025-10-01 07:41:00,2.6299,2.6398,2.6100,2.6108,15728.0000,AIHS
2025-10-01 07:40:00,2.6200,2.6700,2.6116,2.6200,44492.0000,AIHS
2025-10-01 07:39:00,2.5855,2.6500,2.5850,2.6118,43319.0000,AIHS
2025-10-01 07:38:00,2.5900,2.5991,2.5800,2.5801,8782.0000,AIHS
2025-10-01 07:37:00,2.6050,2.6050,2.5800,2.5891,30051.0000,AIHS
2025-10-01 07:36:00,2.6000,2.6400,2.6000,2.6009,47113.0000,AIHS
2025-10-01 07:35:00,2.5592,2.6100,2.5550,2.6050,48967.0000,AIHS
2025-10-01 07:34:00,2.6009,2.6252,2.5500,2.5600,103971.0000,AIHS
2025-10-01 07:33:00,2.5999,2.6100,2.5800,2.6009,55032.0000,AIHS
2025-10-01 07:32:00,2.5799,2.6300,2.5700,2.5809,144287.0000,AIHS
2025-10-01 07:31:00,2.7007,2.7019,2.5700,2.5700,289968.0000,AIHS
2025-10-01 07:30:00,2.7000,2.7100,2.7000,2.7093,63781.0000,AIHS
2025-10-01 07:29:00,2.6886,2.7300,2.6800,2.7002,78186.0000,AIHS
2025-10-01 07:28:00,2.6750,2.7200,2.6700,2.6850,68444.0000,AIHS
2025-10-01 07:27:00,2.7100,2.7200,2.6700,2.6707,96032.0000,AIHS
2025-10-01 07:26:00,2.6801,2.7300,2.6700,2.7000,185982.0000,AIHS
2025-10-01 07:25:00,2.8600,2.8600,2.6500,2.6802,347137.0000,AIHS
2025-10-01 07:24:00,2.8300,2.8600,2.8200,2.8599,63839.0000,AIHS
2025-10-01 07:23:00,2.8500,2.9000,2.8300,2.8400,120383.0000,AIHS
2025-10-01 07:22:00,2.8200,2.8700,2.7800,2.8600,167501.0000,AIHS
2025-10-01 07:21:00,2.8200,2.8400,2.8100,2.8200,57365.0000,AIHS
2025-10-01 07:20:00,2.8506,2.8900,2.8100,2.8200,185412.0000,AIHS
2025-10-01 07:19:00,2.8287,2.8900,2.8200,2.8600,98355.0000,AIHS
